# Include storage technologies as well
region,supplysector,subsector,stub.technology,year,capacity.factor
UT,electricity,solar,PV_storage,2045,0.2445
VA,electricity,solar,PV_storage,2045,0.1956
VT,electricity,solar,PV_storage,2045,0.176
WA,electricity,solar,PV_storage,2045,0.1956
WI,electricity,solar,PV_storage,2045,0.176
WV,electricity,solar,PV_storage,2045,0.1663
WY,electricity,solar,PV_storage,2045,0.2249
AK,electricity,solar,PV,2050,0.1663
AL,electricity,solar,PV,2050,0.1956
AR,electricity,solar,PV,2050,0.2054
AZ,electricity,solar,PV,2050,0.2543
CA,electricity,solar,PV,2050,0.2445
CO,electricity,solar,PV,2050,0.2543
CT,electricity,solar,PV,2050,0.176
DC,electricity,solar,PV,2050,0.176
DE,electricity,solar,PV,2050,0.1858
FL,electricity,solar,PV,2050,0.2054
GA,electricity,solar,PV,2050,0.1956
HI,electricity,solar,PV,2050,0.2543
IA,electricity,solar,PV,2050,0.1956
ID,electricity,solar,PV,2050,0.2151
IL,electricity,solar,PV,2050,0.1858
IN,electricity,solar,PV,2050,0.176
KS,electricity,solar,PV,2050,0.2347
KY,electricity,solar,PV,2050,0.1858
LA,electricity,solar,PV,2050,0.1956
MA,electricity,solar,PV,2050,0.176
MD,electricity,solar,PV,2050,0.176
ME,electricity,solar,PV,2050,0.1858
MI,electricity,solar,PV,2050,0.1663
MN,electricity,solar,PV,2050,0.1858
MO,electricity,solar,PV,2050,0.1858
MS,electricity,solar,PV,2050,0.1956
MT,electricity,solar,PV,2050,0.2054
NC,electricity,solar,PV,2050,0.2054
ND,electricity,solar,PV,2050,0.1956
NE,electricity,solar,PV,2050,0.2151
NH,electricity,solar,PV,2050,0.176
NJ,electricity,solar,PV,2050,0.1956
NM,electricity,solar,PV,2050,0.2543
NV,electricity,solar,PV,2050,0.2543
NY,electricity,solar,PV,2050,0.176
OH,electricity,solar,PV,2050,0.1663
OK,electricity,solar,PV,2050,0.2151
OR,electricity,solar,PV,2050,0.2249
PA,electricity,solar,PV,2050,0.176
RI,electricity,solar,PV,2050,0.176
SC,electricity,solar,PV,2050,0.1956
SD,electricity,solar,PV,2050,0.2054
TN,electricity,solar,PV,2050,0.1956
TX,electricity,solar,PV,2050,0.2151
UT,electricity,solar,PV,2050,0.2445
VA,electricity,solar,PV,2050,0.1956
VT,electricity,solar,PV,2050,0.176
WA,electricity,solar,PV,2050,0.1956
WI,electricity,solar,PV,2050,0.176
WV,electricity,solar,PV,2050,0.1663
WY,electricity,solar,PV,2050,0.2249
AK,electricity,solar,PV_storage,2050,0.1663
AL,electricity,solar,PV_storage,2050,0.1956
AR,electricity,solar,PV_storage,2050,0.2054
AZ,electricity,solar,PV_storage,2050,0.2543
CA,electricity,solar,PV_storage,2050,0.2445
CO,electricity,solar,PV_storage,2050,0.2543
CT,electricity,solar,PV_storage,2050,0.176
DC,electricity,solar,PV_storage,2050,0.176
DE,electricity,solar,PV_storage,2050,0.1858
FL,electricity,solar,PV_storage,2050,0.2054
GA,electricity,solar,PV_storage,2050,0.1956
HI,electricity,solar,PV_storage,2050,0.2543
IA,electricity,solar,PV_storage,2050,0.1956
ID,electricity,solar,PV_storage,2050,0.2151
IL,electricity,solar,PV_storage,2050,0.1858
IN,electricity,solar,PV_storage,2050,0.176
KS,electricity,solar,PV_storage,2050,0.2347
KY,electricity,solar,PV_storage,2050,0.1858
LA,electricity,solar,PV_storage,2050,0.1956
MA,electricity,solar,PV_storage,2050,0.176
MD,electricity,solar,PV_storage,2050,0.176
ME,electricity,solar,PV_storage,2050,0.1858
MI,electricity,solar,PV_storage,2050,0.1663
MN,electricity,solar,PV_storage,2050,0.1858
MO,electricity,solar,PV_storage,2050,0.1858
MS,electricity,solar,PV_storage,2050,0.1956
MT,electricity,solar,PV_storage,2050,0.2054
NC,electricity,solar,PV_storage,2050,0.2054
ND,electricity,solar,PV_storage,2050,0.1956
NE,electricity,solar,PV_storage,2050,0.2151
NH,electricity,solar,PV_storage,2050,0.176
NJ,electricity,solar,PV_storage,2050,0.1956
NM,electricity,solar,PV_storage,2050,0.2543
NV,electricity,solar,PV_storage,2050,0.2543
NY,electricity,solar,PV_storage,2050,0.176
OH,electricity,solar,PV_storage,2050,0.1663
OK,electricity,solar,PV_storage,2050,0.2151
OR,electricity,solar,PV_storage,2050,0.2249
PA,electricity,solar,PV_storage,2050,0.176
RI,electricity,solar,PV_storage,2050,0.176
SC,electricity,solar,PV_storage,2050,0.1956
SD,electricity,solar,PV_storage,2050,0.2054
TN,electricity,solar,PV_storage,2050,0.1956
TX,electricity,solar,PV_storage,2050,0.2151
UT,electricity,solar,PV_storage,2050,0.2445
VA,electricity,solar,PV_storage,2050,0.1956
VT,electricity,solar,PV_storage,2050,0.176
WA,electricity,solar,PV_storage,2050,0.1956
WI,electricity,solar,PV_storage,2050,0.176
WV,electricity,solar,PV_storage,2050,0.1663
WY,electricity,solar,PV_storage,2050,0.2249
AK,electricity,solar,PV,2055,0.1663
AL,electricity,solar,PV,2055,0.1956
AR,electricity,solar,PV,2055,0.2054
AZ,electricity,solar,PV,2055,0.2543
CA,electricity,solar,PV,2055,0.2445
CO,electricity,solar,PV,2055,0.2543
CT,electricity,solar,PV,2055,0.176
DC,electricity,solar,PV,2055,0.176
DE,electricity,solar,PV,2055,0.1858
FL,electricity,solar,PV,2055,0.2054
GA,electricity,solar,PV,2055,0.1956
HI,electricity,solar,PV,2055,0.2543
IA,electricity,solar,PV,2055,0.1956
ID,electricity,solar,PV,2055,0.2151
IL,electricity,solar,PV,2055,0.1858
IN,electricity,solar,PV,2055,0.176
KS,electricity,solar,PV,2055,0.2347
KY,electricity,solar,PV,2055,0.1858
LA,electricity,solar,PV,2055,0.1956
MA,electricity,solar,PV,2055,0.176
MD,electricity,solar,PV,2055,0.176
ME,electricity,solar,PV,2055,0.1858
MI,electricity,solar,PV,2055,0.1663
MN,electricity,solar,PV,2055,0.1858
MO,electricity,solar,PV,2055,0.1858
MS,electricity,solar,PV,2055,0.1956
MT,electricity,solar,PV,2055,0.2054
NC,electricity,solar,PV,2055,0.2054
ND,electricity,solar,PV,2055,0.1956
NE,electricity,solar,PV,2055,0.2151
NH,electricity,solar,PV,2055,0.176
NJ,electricity,solar,PV,2055,0.1956
NM,electricity,solar,PV,2055,0.2543
NV,electricity,solar,PV,2055,0.2543
NY,electricity,solar,PV,2055,0.176
OH,electricity,solar,PV,2055,0.1663
OK,electricity,solar,PV,2055,0.2151
OR,electricity,solar,PV,2055,0.2249
PA,electricity,solar,PV,2055,0.176
RI,electricity,solar,PV,2055,0.176
SC,electricity,solar,PV,2055,0.1956
SD,electricity,solar,PV,2055,0.2054
TN,electricity,solar,PV,2055,0.1956
TX,electricity,solar,PV,2055,0.2151
UT,electricity,solar,PV,2055,0.2445
VA,electricity,solar,PV,2055,0.1956
VT,electricity,solar,PV,2055,0.176
WA,electricity,solar,PV,2055,0.1956
WI,electricity,solar,PV,2055,0.176
WV,electricity,solar,PV,2055,0.1663
WY,electricity,solar,PV,2055,0.2249
AK,electricity,solar,PV_storage,2055,0.1663
AL,electricity,solar,PV_storage,2055,0.1956
AR,electricity,solar,PV_storage,2055,0.2054
AZ,electricity,solar,PV_storage,2055,0.2543
CA,electricity,solar,PV_storage,2055,0.2445
CO,electricity,solar,PV_storage,2055,0.2543
CT,electricity,solar,PV_storage,2055,0.176
DC,electricity,solar,PV_storage,2055,0.176
DE,electricity,solar,PV_storage,2055,0.1858
FL,electricity,solar,PV_storage,2055,0.2054
GA,electricity,solar,PV_storage,2055,0.1956
HI,electricity,solar,PV_storage,2055,0.2543
IA,electricity,solar,PV_storage,2055,0.1956
ID,electricity,solar,PV_storage,2055,0.2151
IL,electricity,solar,PV_storage,2055,0.1858
IN,electricity,solar,PV_storage,2055,0.176
KS,electricity,solar,PV_storage,2055,0.2347
KY,electricity,solar,PV_storage,2055,0.1858
LA,electricity,solar,PV_storage,2055,0.1956
MA,electricity,solar,PV_storage,2055,0.176
MD,electricity,solar,PV_storage,2055,0.176
ME,electricity,solar,PV_storage,2055,0.1858
MI,electricity,solar,PV_storage,2055,0.1663
MN,electricity,solar,PV_storage,2055,0.1858
MO,electricity,solar,PV_storage,2055,0.1858
MS,electricity,solar,PV_storage,2055,0.1956
MT,electricity,solar,PV_storage,2055,0.2054
NC,electricity,solar,PV_storage,2055,0.2054
ND,electricity,solar,PV_storage,2055,0.1956
NE,electricity,solar,PV_storage,2055,0.2151
NH,electricity,solar,PV_storage,2055,0.176
NJ,electricity,solar,PV_storage,2055,0.1956
NM,electricity,solar,PV_storage,2055,0.2543
NV,electricity,solar,PV_storage,2055,0.2543
NY,electricity,solar,PV_storage,2055,0.176
OH,electricity,solar,PV_storage,2055,0.1663
OK,electricity,solar,PV_storage,2055,0.2151
OR,electricity,solar,PV_storage,2055,0.2249
PA,electricity,solar,PV_storage,2055,0.176
RI,electricity,solar,PV_storage,2055,0.176
SC,electricity,solar,PV_storage,2055,0.1956
SD,electricity,solar,PV_storage,2055,0.2054
TN,electricity,solar,PV_storage,2055,0.1956
TX,electricity,solar,PV_storage,2055,0.2151
UT,electricity,solar,PV_storage,2055,0.2445
VA,electricity,solar,PV_storage,2055,0.1956
VT,electricity,solar,PV_storage,2055,0.176
WA,electricity,solar,PV_storage,2055,0.1956
WI,electricity,solar,PV_storage,2055,0.176
WV,electricity,solar,PV_storage,2055,0.1663
WY,electricity,solar,PV_storage,2055,0.2249
AK,electricity,solar,PV,2060,0.1663
AL,electricity,solar,PV,2060,0.1956
AR,electricity,solar,PV,2060,0.2054
AZ,electricity,solar,PV,2060,0.2543
CA,electricity,solar,PV,2060,0.2445
CO,electricity,solar,PV,2060,0.2543
CT,electricity,solar,PV,2060,0.176
DC,electricity,solar,PV,2060,0.176
DE,electricity,solar,PV,2060,0.1858
FL,electricity,solar,PV,2060,0.2054
GA,electricity,solar,PV,2060,0.1956
HI,electricity,solar,PV,2060,0.2543
IA,electricity,solar,PV,2060,0.1956
ID,electricity,solar,PV,2060,0.2151
IL,electricity,solar,PV,2060,0.1858
IN,electricity,solar,PV,2060,0.176
KS,electricity,solar,PV,2060,0.2347
KY,electricity,solar,PV,2060,0.1858
LA,electricity,solar,PV,2060,0.1956
MA,electricity,solar,PV,2060,0.176
MD,electricity,solar,PV,2060,0.176
ME,electricity,solar,PV,2060,0.1858
MI,electricity,solar,PV,2060,0.1663
MN,electricity,solar,PV,2060,0.1858
MO,electricity,solar,PV,2060,0.1858
MS,electricity,solar,PV,2060,0.1956
MT,electricity,solar,PV,2060,0.2054
NC,electricity,solar,PV,2060,0.2054
ND,electricity,solar,PV,2060,0.1956
NE,electricity,solar,PV,2060,0.2151
NH,electricity,solar,PV,2060,0.176
NJ,electricity,solar,PV,2060,0.1956
NM,electricity,solar,PV,2060,0.2543
NV,electricity,solar,PV,2060,0.2543
NY,electricity,solar,PV,2060,0.176
OH,electricity,solar,PV,2060,0.1663
OK,electricity,solar,PV,2060,0.2151
OR,electricity,solar,PV,2060,0.2249
PA,electricity,solar,PV,2060,0.176
RI,electricity,solar,PV,2060,0.176
SC,electricity,solar,PV,2060,0.1956
SD,electricity,solar,PV,2060,0.2054
TN,electricity,solar,PV,2060,0.1956
TX,electricity,solar,PV,2060,0.2151
UT,electricity,solar,PV,2060,0.2445
VA,electricity,solar,PV,2060,0.1956
VT,electricity,solar,PV,2060,0.176
WA,electricity,solar,PV,2060,0.1956
WI,electricity,solar,PV,2060,0.176
WV,electricity,solar,PV,2060,0.1663
WY,electricity,solar,PV,2060,0.2249
AK,electricity,solar,PV_storage,2060,0.1663
AL,electricity,solar,PV_storage,2060,0.1956
AR,electricity,solar,PV_storage,2060,0.2054
AZ,electricity,solar,PV_storage,2060,0.2543
CA,electricity,solar,PV_storage,2060,0.2445
CO,electricity,solar,PV_storage,2060,0.2543
CT,electricity,solar,PV_storage,2060,0.176
DC,electricity,solar,PV_storage,2060,0.176
DE,electricity,solar,PV_storage,2060,0.1858
FL,electricity,solar,PV_storage,2060,0.2054
GA,electricity,solar,PV_storage,2060,0.1956
HI,electricity,solar,PV_storage,2060,0.2543
IA,electricity,solar,PV_storage,2060,0.1956
ID,electricity,solar,PV_storage,2060,0.2151
IL,electricity,solar,PV_storage,2060,0.1858
IN,electricity,solar,PV_storage,2060,0.176
KS,electricity,solar,PV_storage,2060,0.2347
KY,electricity,solar,PV_storage,2060,0.1858
LA,electricity,solar,PV_storage,2060,0.1956
MA,electricity,solar,PV_storage,2060,0.176
MD,electricity,solar,PV_storage,2060,0.176
ME,electricity,solar,PV_storage,2060,0.1858
MI,electricity,solar,PV_storage,2060,0.1663
MN,electricity,solar,PV_storage,2060,0.1858
MO,electricity,solar,PV_storage,2060,0.1858
MS,electricity,solar,PV_storage,2060,0.1956
MT,electricity,solar,PV_storage,2060,0.2054
NC,electricity,solar,PV_storage,2060,0.2054
ND,electricity,solar,PV_storage,2060,0.1956
NE,electricity,solar,PV_storage,2060,0.2151
NH,electricity,solar,PV_storage,2060,0.176
NJ,electricity,solar,PV_storage,2060,0.1956
NM,electricity,solar,PV_storage,2060,0.2543
NV,electricity,solar,PV_storage,2060,0.2543
NY,electricity,solar,PV_storage,2060,0.176
OH,electricity,solar,PV_storage,2060,0.1663
OK,electricity,solar,PV_storage,2060,0.2151
OR,electricity,solar,PV_storage,2060,0.2249
PA,electricity,solar,PV_storage,2060,0.176
RI,electricity,solar,PV_storage,2060,0.176
SC,electricity,solar,PV_storage,2060,0.1956
SD,electricity,solar,PV_storage,2060,0.2054
TN,electricity,solar,PV_storage,2060,0.1956
TX,electricity,solar,PV_storage,2060,0.2151
UT,electricity,solar,PV_storage,2060,0.2445
VA,electricity,solar,PV_storage,2060,0.1956
VT,electricity,solar,PV_storage,2060,0.176
WA,electricity,solar,PV_storage,2060,0.1956
WI,electricity,solar,PV_storage,2060,0.176
WV,electricity,solar,PV_storage,2060,0.1663
WY,electricity,solar,PV_storage,2060,0.2249
AK,electricity,solar,PV,2065,0.1663
AL,electricity,solar,PV,2065,0.1956
AR,electricity,solar,PV,2065,0.2054
AZ,electricity,solar,PV,2065,0.2543
CA,electricity,solar,PV,2065,0.2445
CO,electricity,solar,PV,2065,0.2543
CT,electricity,solar,PV,2065,0.176
DC,electricity,solar,PV,2065,0.176
DE,electricity,solar,PV,2065,0.1858
FL,electricity,solar,PV,2065,0.2054
GA,electricity,solar,PV,2065,0.1956
HI,electricity,solar,PV,2065,0.2543
IA,electricity,solar,PV,2065,0.1956
ID,electricity,solar,PV,2065,0.2151
IL,electricity,solar,PV,2065,0.1858
IN,electricity,solar,PV,2065,0.176
KS,electricity,solar,PV,2065,0.2347
KY,electricity,solar,PV,2065,0.1858
LA,electricity,solar,PV,2065,0.1956
MA,electricity,solar,PV,2065,0.176
MD,electricity,solar,PV,2065,0.176
ME,electricity,solar,PV,2065,0.1858
MI,electricity,solar,PV,2065,0.1663
MN,electricity,solar,PV,2065,0.1858
MO,electricity,solar,PV,2065,0.1858
MS,electricity,solar,PV,2065,0.1956
MT,electricity,solar,PV,2065,0.2054
NC,electricity,solar,PV,2065,0.2054
ND,electricity,solar,PV,2065,0.1956
NE,electricity,solar,PV,2065,0.2151
NH,electricity,solar,PV,2065,0.176
NJ,electricity,solar,PV,2065,0.1956
NM,electricity,solar,PV,2065,0.2543
NV,electricity,solar,PV,2065,0.2543
NY,electricity,solar,PV,2065,0.176
OH,electricity,solar,PV,2065,0.1663
OK,electricity,solar,PV,2065,0.2151
OR,electricity,solar,PV,2065,0.2249
PA,electricity,solar,PV,2065,0.176
RI,electricity,solar,PV,2065,0.176
SC,electricity,solar,PV,2065,0.1956
SD,electricity,solar,PV,2065,0.2054
TN,electricity,solar,PV,2065,0.1956
TX,electricity,solar,PV,2065,0.2151
UT,electricity,solar,PV,2065,0.2445
VA,electricity,solar,PV,2065,0.1956
VT,electricity,solar,PV,2065,0.176
WA,electricity,solar,PV,2065,0.1956
WI,electricity,solar,PV,2065,0.176
WV,electricity,solar,PV,2065,0.1663
WY,electricity,solar,PV,2065,0.2249
AK,electricity,solar,PV_storage,2065,0.1663
AL,electricity,solar,PV_storage,2065,0.1956
AR,electricity,solar,PV_storage,2065,0.2054
AZ,electricity,solar,PV_storage,2065,0.2543
CA,electricity,solar,PV_storage,2065,0.2445
CO,electricity,solar,PV_storage,2065,0.2543
CT,electricity,solar,PV_storage,2065,0.176
DC,electricity,solar,PV_storage,2065,0.176
DE,electricity,solar,PV_storage,2065,0.1858
FL,electricity,solar,PV_storage,2065,0.2054
GA,electricity,solar,PV_storage,2065,0.1956
HI,electricity,solar,PV_storage,2065,0.2543
IA,electricity,solar,PV_storage,2065,0.1956
ID,electricity,solar,PV_storage,2065,0.2151
IL,electricity,solar,PV_storage,2065,0.1858
IN,electricity,solar,PV_storage,2065,0.176
KS,electricity,solar,PV_storage,2065,0.2347
KY,electricity,solar,PV_storage,2065,0.1858
LA,electricity,solar,PV_storage,2065,0.1956
MA,electricity,solar,PV_storage,2065,0.176
MD,electricity,solar,PV_storage,2065,0.176
ME,electricity,solar,PV_storage,2065,0.1858
MI,electricity,solar,PV_storage,2065,0.1663
MN,electricity,solar,PV_storage,2065,0.1858
MO,electricity,solar,PV_storage,2065,0.1858
MS,electricity,solar,PV_storage,2065,0.1956
MT,electricity,solar,PV_storage,2065,0.2054
NC,electricity,solar,PV_storage,2065,0.2054
ND,electricity,solar,PV_storage,2065,0.1956
NE,electricity,solar,PV_storage,2065,0.2151
NH,electricity,solar,PV_storage,2065,0.176
NJ,electricity,solar,PV_storage,2065,0.1956
NM,electricity,solar,PV_storage,2065,0.2543
NV,electricity,solar,PV_storage,2065,0.2543
NY,electricity,solar,PV_storage,2065,0.176
OH,electricity,solar,PV_storage,2065,0.1663
OK,electricity,solar,PV_storage,2065,0.2151
OR,electricity,solar,PV_storage,2065,0.2249
PA,electricity,solar,PV_storage,2065,0.176
RI,electricity,solar,PV_storage,2065,0.176
SC,electricity,solar,PV_storage,2065,0.1956
SD,electricity,solar,PV_storage,2065,0.2054
TN,electricity,solar,PV_storage,2065,0.1956
TX,electricity,solar,PV_storage,2065,0.2151
UT,electricity,solar,PV_storage,2065,0.2445
VA,electricity,solar,PV_storage,2065,0.1956
VT,electricity,solar,PV_storage,2065,0.176
WA,electricity,solar,PV_storage,2065,0.1956
WI,electricity,solar,PV_storage,2065,0.176
WV,electricity,solar,PV_storage,2065,0.1663
WY,electricity,solar,PV_storage,2065,0.2249
AK,electricity,solar,PV,2070,0.1663
AL,electricity,solar,PV,2070,0.1956
AR,electricity,solar,PV,2070,0.2054
AZ,electricity,solar,PV,2070,0.2543
CA,electricity,solar,PV,2070,0.2445
CO,electricity,solar,PV,2070,0.2543
CT,electricity,solar,PV,2070,0.176
DC,electricity,solar,PV,2070,0.176
DE,electricity,solar,PV,2070,0.1858
FL,electricity,solar,PV,2070,0.2054
GA,electricity,solar,PV,2070,0.1956
HI,electricity,solar,PV,2070,0.2543
IA,electricity,solar,PV,2070,0.1956
ID,electricity,solar,PV,2070,0.2151
IL,electricity,solar,PV,2070,0.1858
IN,electricity,solar,PV,2070,0.176
KS,electricity,solar,PV,2070,0.2347
KY,electricity,solar,PV,2070,0.1858
LA,electricity,solar,PV,2070,0.1956
MA,electricity,solar,PV,2070,0.176
MD,electricity,solar,PV,2070,0.176
ME,electricity,solar,PV,2070,0.1858
MI,electricity,solar,PV,2070,0.1663
MN,electricity,solar,PV,2070,0.1858
MO,electricity,solar,PV,2070,0.1858
MS,electricity,solar,PV,2070,0.1956
MT,electricity,solar,PV,2070,0.2054
NC,electricity,solar,PV,2070,0.2054
ND,electricity,solar,PV,2070,0.1956
NE,electricity,solar,PV,2070,0.2151
NH,electricity,solar,PV,2070,0.176
NJ,electricity,solar,PV,2070,0.1956
NM,electricity,solar,PV,2070,0.2543
NV,electricity,solar,PV,2070,0.2543
NY,electricity,solar,PV,2070,0.176
OH,electricity,solar,PV,2070,0.1663
OK,electricity,solar,PV,2070,0.2151
OR,electricity,solar,PV,2070,0.2249
PA,electricity,solar,PV,2070,0.176
RI,electricity,solar,PV,2070,0.176
SC,electricity,solar,PV,2070,0.1956
SD,electricity,solar,PV,2070,0.2054
TN,electricity,solar,PV,2070,0.1956
TX,electricity,solar,PV,2070,0.2151
UT,electricity,solar,PV,2070,0.2445
VA,electricity,solar,PV,2070,0.1956
VT,electricity,solar,PV,2070,0.176
WA,electricity,solar,PV,2070,0.1956
WI,electricity,solar,PV,2070,0.176
WV,electricity,solar,PV,2070,0.1663
WY,electricity,solar,PV,2070,0.2249
AK,electricity,solar,PV_storage,2070,0.1663
AL,electricity,solar,PV_storage,2070,0.1956
AR,electricity,solar,PV_storage,2070,0.2054
AZ,electricity,solar,PV_storage,2070,0.2543
CA,electricity,solar,PV_storage,2070,0.2445
CO,electricity,solar,PV_storage,2070,0.2543
CT,electricity,solar,PV_storage,2070,0.176
DC,electricity,solar,PV_storage,2070,0.176
DE,electricity,solar,PV_storage,2070,0.1858
FL,electricity,solar,PV_storage,2070,0.2054
GA,electricity,solar,PV_storage,2070,0.1956
HI,electricity,solar,PV_storage,2070,0.2543
IA,electricity,solar,PV_storage,2070,0.1956
ID,electricity,solar,PV_storage,2070,0.2151
IL,electricity,solar,PV_storage,2070,0.1858
IN,electricity,solar,PV_storage,2070,0.176
KS,electricity,solar,PV_storage,2070,0.2347
KY,electricity,solar,PV_storage,2070,0.1858
LA,electricity,solar,PV_storage,2070,0.1956
MA,electricity,solar,PV_storage,2070,0.176
MD,electricity,solar,PV_storage,2070,0.176
ME,electricity,solar,PV_storage,2070,0.1858
MI,electricity,solar,PV_storage,2070,0.1663
MN,electricity,solar,PV_storage,2070,0.1858
MO,electricity,solar,PV_storage,2070,0.1858
MS,electricity,solar,PV_storage,2070,0.1956
MT,electricity,solar,PV_storage,2070,0.2054
NC,electricity,solar,PV_storage,2070,0.2054
ND,electricity,solar,PV_storage,2070,0.1956
NE,electricity,solar,PV_storage,2070,0.2151
NH,electricity,solar,PV_storage,2070,0.176
NJ,electricity,solar,PV_storage,2070,0.1956
NM,electricity,solar,PV_storage,2070,0.2543
NV,electricity,solar,PV_storage,2070,0.2543
NY,electricity,solar,PV_storage,2070,0.176
OH,electricity,solar,PV_storage,2070,0.1663
OK,electricity,solar,PV_storage,2070,0.2151
OR,electricity,solar,PV_storage,2070,0.2249
PA,electricity,solar,PV_storage,2070,0.176
RI,electricity,solar,PV_storage,2070,0.176
SC,electricity,solar,PV_storage,2070,0.1956
SD,electricity,solar,PV_storage,2070,0.2054
TN,electricity,solar,PV_storage,2070,0.1956
TX,electricity,solar,PV_storage,2070,0.2151
UT,electricity,solar,PV_storage,2070,0.2445
VA,electricity,solar,PV_storage,2070,0.1956
VT,electricity,solar,PV_storage,2070,0.176
WA,electricity,solar,PV_storage,2070,0.1956
WI,electricity,solar,PV_storage,2070,0.176
WV,electricity,solar,PV_storage,2070,0.1663
WY,electricity,solar,PV_storage,2070,0.2249
AK,electricity,solar,PV,2075,0.1663
AL,electricity,solar,PV,2075,0.1956
AR,electricity,solar,PV,2075,0.2054
AZ,electricity,solar,PV,2075,0.2543
CA,electricity,solar,PV,2075,0.2445
CO,electricity,solar,PV,2075,0.2543
CT,electricity,solar,PV,2075,0.176
DC,electricity,solar,PV,2075,0.176
DE,electricity,solar,PV,2075,0.1858
FL,electricity,solar,PV,2075,0.2054
GA,electricity,solar,PV,2075,0.1956
HI,electricity,solar,PV,2075,0.2543
IA,electricity,solar,PV,2075,0.1956
ID,electricity,solar,PV,2075,0.2151
IL,electricity,solar,PV,2075,0.1858
IN,electricity,solar,PV,2075,0.176
KS,electricity,solar,PV,2075,0.2347
KY,electricity,solar,PV,2075,0.1858
LA,electricity,solar,PV,2075,0.1956
MA,electricity,solar,PV,2075,0.176
MD,electricity,solar,PV,2075,0.176
ME,electricity,solar,PV,2075,0.1858
MI,electricity,solar,PV,2075,0.1663
MN,electricity,solar,PV,2075,0.1858
MO,electricity,solar,PV,2075,0.1858
MS,electricity,solar,PV,2075,0.1956
MT,electricity,solar,PV,2075,0.2054
NC,electricity,solar,PV,2075,0.2054
ND,electricity,solar,PV,2075,0.1956
NE,electricity,solar,PV,2075,0.2151
NH,electricity,solar,PV,2075,0.176
NJ,electricity,solar,PV,2075,0.1956
NM,electricity,solar,PV,2075,0.2543
NV,electricity,solar,PV,2075,0.2543
NY,electricity,solar,PV,2075,0.176
OH,electricity,solar,PV,2075,0.1663
OK,electricity,solar,PV,2075,0.2151
OR,electricity,solar,PV,2075,0.2249
PA,electricity,solar,PV,2075,0.176
RI,electricity,solar,PV,2075,0.176
SC,electricity,solar,PV,2075,0.1956
SD,electricity,solar,PV,2075,0.2054
TN,electricity,solar,PV,2075,0.1956
TX,electricity,solar,PV,2075,0.2151
UT,electricity,solar,PV,2075,0.2445
VA,electricity,solar,PV,2075,0.1956
VT,electricity,solar,PV,2075,0.176
WA,electricity,solar,PV,2075,0.1956
WI,electricity,solar,PV,2075,0.176
WV,electricity,solar,PV,2075,0.1663
WY,electricity,solar,PV,2075,0.2249
AK,electricity,solar,PV_storage,2075,0.1663
AL,electricity,solar,PV_storage,2075,0.1956
AR,electricity,solar,PV_storage,2075,0.2054
AZ,electricity,solar,PV_storage,2075,0.2543
CA,electricity,solar,PV_storage,2075,0.2445
CO,electricity,solar,PV_storage,2075,0.2543
CT,electricity,solar,PV_storage,2075,0.176
DC,electricity,solar,PV_storage,2075,0.176
DE,electricity,solar,PV_storage,2075,0.1858
FL,electricity,solar,PV_storage,2075,0.2054
GA,electricity,solar,PV_storage,2075,0.1956
HI,electricity,solar,PV_storage,2075,0.2543
IA,electricity,solar,PV_storage,2075,0.1956
ID,electricity,solar,PV_storage,2075,0.2151
IL,electricity,solar,PV_storage,2075,0.1858
IN,electricity,solar,PV_storage,2075,0.176
KS,electricity,solar,PV_storage,2075,0.2347
KY,electricity,solar,PV_storage,2075,0.1858
LA,electricity,solar,PV_storage,2075,0.1956
MA,electricity,solar,PV_storage,2075,0.176
MD,electricity,solar,PV_storage,2075,0.176
ME,electricity,solar,PV_storage,2075,0.1858
MI,electricity,solar,PV_storage,2075,0.1663
MN,electricity,solar,PV_storage,2075,0.1858
MO,electricity,solar,PV_storage,2075,0.1858
MS,electricity,solar,PV_storage,2075,0.1956
MT,electricity,solar,PV_storage,2075,0.2054
NC,electricity,solar,PV_storage,2075,0.2054
ND,electricity,solar,PV_storage,2075,0.1956
NE,electricity,solar,PV_storage,2075,0.2151
NH,electricity,solar,PV_storage,2075,0.176
NJ,electricity,solar,PV_storage,2075,0.1956
NM,electricity,solar,PV_storage,2075,0.2543
NV,electricity,solar,PV_storage,2075,0.2543
NY,electricity,solar,PV_storage,2075,0.176
OH,electricity,solar,PV_storage,2075,0.1663
OK,electricity,solar,PV_storage,2075,0.2151
OR,electricity,solar,PV_storage,2075,0.2249
PA,electricity,solar,PV_storage,2075,0.176
RI,electricity,solar,PV_storage,2075,0.176
SC,electricity,solar,PV_storage,2075,0.1956
SD,electricity,solar,PV_storage,2075,0.2054
TN,electricity,solar,PV_storage,2075,0.1956
TX,electricity,solar,PV_storage,2075,0.2151
UT,electricity,solar,PV_storage,2075,0.2445
VA,electricity,solar,PV_storage,2075,0.1956
VT,electricity,solar,PV_storage,2075,0.176
WA,electricity,solar,PV_storage,2075,0.1956
WI,electricity,solar,PV_storage,2075,0.176
WV,electricity,solar,PV_storage,2075,0.1663
WY,electricity,solar,PV_storage,2075,0.2249
AK,electricity,solar,PV,2080,0.1663
AL,electricity,solar,PV,2080,0.1956
AR,electricity,solar,PV,2080,0.2054
AZ,electricity,solar,PV,2080,0.2543
CA,electricity,solar,PV,2080,0.2445
CO,electricity,solar,PV,2080,0.2543
